Building,Total Price Without Battery,Total Price With Battery,Price Saving,Total Emissions Without Battery,Total Emissions With Battery,Emissions Saving (kg),Total Grid Energy Without Battery,Total Grid Energy With Battery,Grid Energy Saving
1,28.223501392091002,25.08852054200529,3.134980850085711,139.2790328780732,133.4105290626955,5.868503815377693,239.67023872000004,237.07673872000007,2.5934999999999775
2,32.239351371715834,29.040959456962586,3.1983919147532482,158.57633543142276,152.62386861206016,5.9524668193625985,272.25332756399996,269.65982756400007,2.5934999999998922
3,30.19266522717856,27.014687554894927,3.1779776722836317,146.23952049390897,140.35540862038184,5.884111873527132,253.49228602200003,250.89878602199994,2.593500000000091
4,27.353032461602783,24.32973919733064,3.0232932642721444,134.46712251431416,128.48647816992596,5.980644344388196,232.50421276200007,229.91071276200003,2.5935000000000343
5,27.082980133843268,23.978087079062647,3.1048930547806215,132.85559063032645,126.90734123824488,5.948249392081564,228.307577129,225.714077129,2.593500000000006
6,29.16717994048154,26.015006165551824,3.1521737749297145,143.78267167263294,137.91077766226402,5.871894010368919,248.00320149500007,245.40970149500006,2.593500000000006
7,28.217765630688863,25.101149933860327,3.1166156968285357,140.15323655722455,134.26950132628812,5.8837352309364235,240.1490747879999,237.55557478799992,2.5934999999999775
8,29.307539541746436,26.08629990584263,3.2212396359038067,141.54943087324597,135.70316388615896,5.846266987087006,245.302313721,242.70881372099993,2.5935000000000628
9,28.327866523045195,25.315551823145718,3.012314699899477,139.8628996047246,133.76456441213674,6.098335192587854,239.91308558100002,237.31958558100007,2.593499999999949
10,26.788624490335312,23.798300047972827,2.9903244423624855,132.60871470125812,126.49134830939636,6.117366391861765,227.36135975900004,224.76785975900006,2.5934999999999775
11,21.037317316463895,18.50337393128875,2.533943385175146,103.96059245947373,97.28561565242597,6.674976807047756,179.131153592,176.33996941753512,2.791184174464888
12,25.05666545054876,22.14770157924492,2.9089638713038397,121.5983286838879,115.40104603798048,6.197282645907421,212.60107611900008,210.00757611900002,2.5935000000000628
13,25.652962622246374,22.700891929551243,2.9520706926951306,125.0659007728738,118.86810631569331,6.197794457180493,215.07202409699997,212.47852409699996,2.593500000000006
14,26.68469748449119,23.77280624985959,2.9118912346316,132.43062773884785,126.06498675588476,6.365640982963086,225.917088153,223.17308774172807,2.7440004112719407
15,22.22084806086761,19.52820914642317,2.6926389144444407,109.09341476822765,102.68703693535187,6.406377832875776,188.38548632300007,185.58649182731585,2.7989944956842123
16,33.48794891053187,30.273446776299078,3.2145021342327915,164.64206698664654,158.75285354785356,5.889213438792979,285.8283628909999,283.23486289099986,2.5935000000000628
17,29.469609779039484,26.254447901431636,3.215161877607848,145.12985318118575,139.33842708920574,5.791426091980014,248.36401819399998,245.77051819399995,2.5935000000000343
18,33.539347208311646,30.33618748629804,3.2031597220136057,166.05541713529848,160.07415583532602,5.981261299972459,285.1264761340001,282.532976134,2.5935000000000628
19,23.033851621652705,20.127699278970592,2.9061523426821125,111.92206966059321,105.73955403352078,6.1825156270724335,193.01440403000004,190.38388528305268,2.6305187469473594
20,24.06549093088446,21.285624073287075,2.779866857597387,118.17755777978633,111.85437587298536,6.3231819068009685,203.92235410299998,201.13542487809647,2.7869292249035027
21,27.262341455617687,24.177753388663845,3.0845880669538417,130.34167864391296,124.34584594281525,5.9958327010977115,225.5097180640001,222.91621806400002,2.593500000000091
22,25.791726641094435,22.708073471681242,3.083653169413193,125.52909326170642,119.60181085708109,5.9272824046253305,216.79922447499993,214.20572447499998,2.593499999999949
23,25.839268742067677,22.73667840811508,3.102590333952598,125.87567147895521,120.0090941952438,5.866577283711408,217.09129298499994,214.49779298499996,2.5934999999999775
24,28.833237567841024,25.658186801423998,3.1750507664170264,140.30056194331044,134.4298974183817,5.870664524928742,242.46110101099998,239.86760101100003,2.593499999999949
25,24.177443290444817,21.208007096975912,2.969436193468905,117.93471203073834,111.8373591115333,6.097352919205036,203.11253497400003,200.51903497399996,2.5935000000000628
26,26.259543115635704,23.32321594688775,2.9363271687479546,129.91612629526915,123.75078303406934,6.1653432611998085,223.933914835,221.29550116033334,2.6384136746666513
27,23.434574755679755,20.81703468922081,2.617540066458943,115.69725778718296,109.16894944885367,6.528308338329296,199.29622544100013,196.37790944235974,2.918315998640395
28,24.66785910088035,21.646576720186648,3.0212823806937017,118.74384322445503,112.70505470059344,6.038788523861598,206.85300793000002,204.25950793000004,2.5934999999999775
